"(""αρμόδι"", ""για"")","(""ευθύνη"", ""για"")","(""εύθυν"", ""για"")","(""αρμοδιότητ"", ""ακόλουθ"")","(""αρμοδιότητ"", ""μεταξύ"")","(""ρμοδιότητες"", ""τ"")","(""αρμοδιότητ"", ""έχει"")","(""αρμοδιότητ"", ""εξής"")","(""αρμοδιότητ"", ""είναι"")",RespA
0,0,0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0
0,1,0,0,0,0,1,0,0,0
0,0,1,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0,0
0,0,0,0,0,0,1,0,0,0
0,0,1,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,2,0,0,0,0,0,1
0,0,0,0,0,0,1,0,0,1
0,0,0,0,1,0,0,0,0,1
0,0,1,0,0,0,0,0,1,1
0,0,0,1,0,0,0,0,0,1
0,0,0,2,0,0,0,0,0,1
0,0,0,0,0,0,1,0,0,1
0,0,0,0,0,0,4,0,2,1
0,0,0,1,0,0,0,0,0,1
0,0,0,1,0,0,0,0,0,1
0,0,0,1,0,0,0,0,0,1
0,0,0,1,0,0,0,0,0,1
0,0,0,0,1,0,0,0,0,1
0,0,0,0,0,0,2,0,0,1
0,0,0,1,0,0,1,0,0,1
0,1,0,0,0,0,0,0,2,1
0,0,0,1,0,0,1,0,0,1
0,0,0,1,0,0,3,0,0,1
0,1,0,0,0,0,0,0,2,1
0,0,0,1,0,0,3,0,0,1
0,0,0,0,0,0,1,0,0,1
0,0,0,1,0,0,0,0,0,1
0,0,0,1,0,0,0,0,0,1
0,0,0,1,0,0,0,0,0,1
0,0,0,1,0,0,0,0,0,1
0,0,0,1,0,0,1,0,0,1
0,0,0,1,0,0,1,0,0,1
0,0,0,1,0,1,1,0,0,1
0,0,0,0,0,0,2,0,0,1
0,0,0,0,0,1,2,0,0,1
0,0,0,0,0,4,2,0,0,1
0,0,0,0,0,1,2,0,0,1
0,0,0,0,0,1,2,0,0,1
1,1,0,0,0,1,2,0,0,1
0,0,0,0,0,1,0,0,0,1
0,0,0,0,0,1,0,0,0,1
0,0,0,0,0,1,0,0,0,1
0,0,0,0,0,1,0,0,0,1
0,0,0,0,0,1,0,0,0,1
0,0,0,1,0,0,1,0,0,1
0,0,0,0,0,1,0,0,1,1
0,5,0,0,0,1,0,0,1,1
0,0,0,0,0,1,0,0,1,1
0,0,0,0,0,1,0,0,0,1
0,0,0,0,0,1,0,0,1,1
0,0,0,0,0,1,0,0,1,1
0,0,0,0,0,1,0,0,1,1
0,0,0,0,0,1,0,0,1,1
0,0,0,0,0,1,0,0,1,1
0,0,0,0,0,1,0,0,1,1
0,0,0,0,0,1,0,0,1,1
0,0,0,0,0,1,0,0,1,1
0,0,0,0,0,1,0,0,1,1
0,0,0,0,0,1,0,0,0,1
0,0,2,0,0,1,0,0,1,1
0,0,1,0,0,1,0,0,1,1
0,0,0,0,0,1,0,0,1,1
0,0,0,0,0,1,0,0,1,1
0,1,0,0,0,1,0,0,0,1
0,3,0,0,0,1,0,0,1,1
1,0,0,0,0,0,0,0,1,1
0,0,0,1,0,0,1,0,0,1
0,0,0,0,0,1,0,0,1,1
0,0,0,0,0,1,0,0,1,1
0,0,0,1,0,0,3,0,0,1
2,0,0,0,0,1,0,0,1,1
0,0,0,0,0,1,0,0,1,1
0,0,0,0,0,1,0,0,1,1
0,0,0,0,0,1,0,0,1,1
0,2,0,0,0,1,0,0,0,1
0,0,0,0,0,1,0,0,0,1
0,0,0,0,0,2,0,0,0,1
0,0,0,0,0,2,0,0,0,1
0,0,0,0,0,1,0,0,0,1
0,0,0,0,0,1,0,0,0,1
0,0,0,0,0,1,0,0,0,1
7,0,0,0,0,2,0,0,0,1
2,0,0,0,0,1,0,0,0,1
2,0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,0,1
5,0,0,0,0,0,0,0,0,1
8,0,0,0,0,0,0,0,0,1
6,0,0,0,0,0,0,0,0,1
2,0,0,0,0,0,0,0,0,1
2,0,0,0,0,0,0,0,0,1
4,0,0,0,0,0,0,0,0,1
3,0,0,0,0,0,0,0,0,1
1,0,1,0,0,0,0,0,0,1
5,0,0,0,0,0,0,0,0,1
3,0,0,0,0,0,0,0,0,1
3,0,0,0,0,0,0,0,0,1
6,0,0,0,0,1,0,0,0,1
3,0,0,0,0,0,0,0,0,1
2,0,0,0,0,0,0,0,0,1
3,0,0,0,0,0,0,0,0,1
3,0,0,0,0,0,0,0,0,1
4,0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,0,1
2,0,0,0,0,0,0,0,0,1
2,0,0,0,0,0,0,0,0,1
3,0,0,0,0,0,0,0,0,1
3,0,0,0,0,1,0,0,0,1
2,0,0,0,0,0,0,0,0,1
4,0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,0,1
3,0,0,0,0,0,0,0,0,1
3,0,0,0,0,0,0,0,0,1
4,0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,0,1
5,0,0,0,0,0,0,0,0,1
5,0,0,0,0,0,0,0,0,1
4,0,0,0,0,0,0,0,0,1
3,0,0,0,0,0,0,0,0,1
7,0,0,0,0,0,0,0,0,1
4,0,0,0,0,0,0,0,0,1
5,0,0,0,0,0,0,0,0,1
4,0,0,0,0,0,0,0,0,1
4,0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,0,1
1,1,0,0,0,3,0,0,0,1
2,0,0,0,0,0,0,0,0,1
3,0,0,0,0,0,0,0,0,1
5,0,0,0,0,0,0,0,0,1
6,0,0,0,0,0,0,0,0,1
4,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,1,0,0,1
7,1,0,0,0,0,0,0,0,1
7,0,0,0,0,1,0,0,0,1
1,1,0,0,0,0,0,0,0,1
3,0,0,0,0,0,0,0,0,1
0,0,0,2,0,0,0,0,0,1
0,0,0,1,0,0,0,0,0,1
0,0,0,1,0,0,0,0,0,1
0,0,0,1,0,0,0,0,0,1
1,0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,0,1
1,0,0,1,0,0,0,0,0,1
0,0,0,1,0,0,0,0,0,1
1,0,0,0,0,0,0,0,0,1
1,2,0,0,0,0,2,0,0,1
4,0,0,0,0,0,0,0,0,1
3,0,2,0,0,0,0,0,0,1
5,0,0,0,0,0,0,0,0,1
4,0,0,0,0,0,0,0,0,1
4,0,0,0,0,0,0,0,0,1
4,0,0,0,0,0,0,0,0,1
4,0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,0,1
7,0,0,0,0,0,3,1,0,1
4,0,0,0,0,0,0,0,0,1
4,0,0,0,0,0,0,0,0,1
6,0,0,0,0,0,0,0,0,1
5,0,0,0,0,0,0,0,0,1
3,0,0,0,0,0,0,0,0,1
7,0,0,0,0,0,0,0,1,1
5,0,0,0,0,0,0,0,0,1
3,0,0,0,0,1,0,0,0,1
4,0,0,0,0,0,0,0,0,1
3,0,0,0,0,0,0,0,0,1
4,0,0,0,0,0,0,0,0,1
2,0,0,0,0,0,0,0,0,1
3,0,0,0,0,0,0,0,0,1
3,0,0,0,0,0,0,0,0,1
4,0,0,0,0,0,0,0,0,1
4,0,0,0,0,0,0,0,0,1
6,0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,0,1
4,0,0,0,0,0,0,0,0,1
0,1,0,0,0,0,1,0,0,1
3,0,0,0,0,0,0,0,0,1
3,0,0,0,0,0,0,0,0,1
2,0,0,0,0,0,0,0,0,1
2,0,0,0,0,0,0,0,0,1
3,0,0,0,0,0,0,0,0,1
3,0,0,0,0,0,0,0,0,1
3,0,0,0,0,0,0,0,0,1
2,0,0,0,0,0,0,0,0,1
3,0,0,0,0,0,0,0,0,1
3,0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,0,1
6,0,0,0,0,0,0,0,0,1
3,0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,0,1
7,0,0,0,0,0,0,0,0,1
3,0,0,0,0,0,3,0,0,1
6,0,2,0,0,0,0,0,0,1
7,0,0,0,0,0,0,0,0,1
5,0,0,0,0,0,0,0,0,1
0,0,0,0,0,2,0,0,0,1
0,0,0,0,0,1,0,0,0,1
1,0,0,0,0,1,1,0,1,1
0,0,0,0,0,2,0,0,1,1
0,0,0,0,0,5,4,0,2,1
6,0,0,0,0,3,4,0,1,1
0,0,1,0,0,1,0,0,1,1
1,0,0,0,0,1,0,0,1,1
2,3,0,0,0,2,0,0,2,1
5,0,0,0,0,1,0,0,1,1
14,0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0
